download_ID,species,decimallongitude,decimallatitude,year
bien_330,Loudetia simplex,47.118056,-20.236111,1992
bien_331,Loudetia simplex,30.125,-22.875,1931
bien_332,Loudetia simplex,31.125,-27.375,1975
bien_333,Loudetia simplex,30.125,-28.375,2006
bien_334,Loudetia simplex,45.35475,-22.600472,2017
bien_335,Loudetia simplex,47.033333,-19.85,1963
bien_336,Loudetia simplex,46.812083,-20.576278,2014
bien_337,Loudetia simplex,47.2,-19.416667,1957
bien_338,Loudetia simplex,46.579556,-20.566889,2013
bien_339,Loudetia simplex,45.4,-22.55,1956
bien_340,Loudetia simplex,30.125,-25.375,1985
bien_341,Loudetia simplex,47.2,-19.416667,1957
bien_342,Loudetia simplex,47.0255556,-21.5311111,2010
bien_343,Loudetia simplex,30.125,-25.125,1988
bien_344,Loudetia simplex,46.42256,-20.56726,2016
bien_345,Loudetia simplex,46.589417,-20.578833,2014
bien_346,Loudetia simplex,30.875,-29.625,1991
bien_347,Loudetia simplex,31.125,-25.875,1992
bien_348,Loudetia simplex,27.375,-25.875,1985
bien_349,Loudetia simplex,45.033333,-22.75,1961
bien_350,Loudetia simplex,46.416139,-20.570722,2016
bien_351,Loudetia simplex,1.45,10.45,1999
bien_352,Loudetia simplex,29.375,-25.625,1979
bien_353,Loudetia simplex,26.125,-26.375,1948
bien_354,Loudetia simplex,44.65,-23.65,1964
bien_355,Loudetia simplex,27.875,-26.125,1983
bien_356,Loudetia simplex,29.625,-29.625,1979
bien_357,Loudetia simplex,28.375,-24.375,1985
bien_358,Loudetia simplex,46.583333,-20.65,1975
bien_359,Loudetia simplex,47.084889,-17.885389,2017
bien_360,Loudetia simplex,-1.417,11.05,NA
bien_361,Loudetia simplex,27.125,-25.625,1970
bien_362,Loudetia simplex,46.65,-19.866667,1955
bien_363,Loudetia simplex,30.875,-24.125,1973
bien_364,Loudetia simplex,28.125,-25.625,1929
bien_365,Loudetia simplex,46.570778,-20.618972,2016
